step,combination,modalities,input_channels,fold,training_seed,train_count,evaluation_count,train_class_0,train_class_1,evaluation_class_0,evaluation_class_1,parameter_count,accuracy,macro_f1,mae,sensitivity,specificity,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,confusion_matrix
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,3,42,797,199,306,491,77,122,23549762,0.7537688442211056,0.7309103954521622,0.24623115577889448,0.8524590163934426,0.5974025974025974,0.71875,0.5974025974025974,0.652482269503546,0.7703703703703704,0.8524590163934426,0.8093385214007783,"[[46, 31], [18, 104]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,4,42,798,198,307,491,76,122,23549762,0.7474747474747475,0.7271825396825398,0.25252525252525254,0.8278688524590164,0.618421052631579,0.6911764705882353,0.618421052631579,0.6527777777777778,0.7769230769230769,0.8278688524590164,0.8015873015873016,"[[47, 29], [21, 101]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,5,42,799,197,308,491,75,122,23549762,0.7715736040609137,0.7571565538967265,0.22842639593908629,0.819672131147541,0.6933333333333334,0.7027027027027027,0.6933333333333334,0.6979865771812082,0.8130081300813008,0.819672131147541,0.8163265306122449,"[[52, 23], [22, 100]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,1,3407,794,202,305,489,78,124,23549762,0.7821782178217822,0.7679615705931495,0.21782178217821782,0.8387096774193549,0.6923076923076923,0.7297297297297297,0.6923076923076923,0.7105263157894737,0.8125,0.8387096774193549,0.8253968253968254,"[[54, 24], [20, 104]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,2,3407,796,200,306,490,77,123,23549762,0.75,0.7194478734148804,0.25,0.8780487804878049,0.5454545454545454,0.7368421052631579,0.5454545454545454,0.626865671641791,0.7552447552447552,0.8780487804878049,0.8120300751879699,"[[42, 35], [15, 108]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,3,3407,797,199,306,491,77,122,23549762,0.7185929648241206,0.6849841700587969,0.2814070351758794,0.8524590163934426,0.5064935064935064,0.6842105263157895,0.5064935064935064,0.5820895522388059,0.7323943661971831,0.8524590163934426,0.787878787878788,"[[39, 38], [18, 104]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,4,3407,798,198,307,491,76,122,23549762,0.7323232323232324,0.722637769261266,0.2676767676767677,0.7459016393442623,0.7105263157894737,0.6352941176470588,0.7105263157894737,0.6708074534161491,0.8053097345132744,0.7459016393442623,0.774468085106383,"[[54, 22], [31, 91]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,5,3407,799,197,308,491,75,122,23549762,0.7208121827411168,0.7150558842866535,0.27918781725888325,0.6967213114754098,0.76,0.6063829787234043,0.76,0.6745562130177515,0.8252427184466019,0.6967213114754098,0.7555555555555555,"[[57, 18], [37, 85]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,1,2026,794,202,305,489,78,124,23549762,0.7970297029702971,0.7780992953406747,0.20297029702970298,0.8870967741935484,0.6538461538461539,0.7846153846153846,0.6538461538461539,0.7132867132867133,0.8029197080291971,0.8870967741935484,0.842911877394636,"[[51, 27], [14, 110]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,2,2026,796,200,306,490,77,123,23549762,0.77,0.7593890574327858,0.23,0.7967479674796748,0.7272727272727273,0.691358024691358,0.7272727272727273,0.7088607594936708,0.8235294117647058,0.7967479674796748,0.8099173553719009,"[[56, 21], [25, 98]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,3,2026,797,199,306,491,77,122,23549762,0.7487437185929648,0.729560774081322,0.25125628140703515,0.8278688524590164,0.6233766233766234,0.6956521739130435,0.6233766233766234,0.6575342465753424,0.7769230769230769,0.8278688524590164,0.8015873015873016,"[[48, 29], [21, 101]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,4,2026,798,198,307,491,76,122,23549762,0.7676767676767676,0.7405719494132392,0.23232323232323232,0.8852459016393442,0.5789473684210527,0.7586206896551724,0.5789473684210527,0.6567164179104478,0.7714285714285715,0.8852459016393442,0.8244274809160306,"[[44, 32], [14, 108]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,5,2026,799,197,308,491,75,122,23549762,0.7614213197969543,0.7420388376563676,0.23857868020304568,0.8360655737704918,0.64,0.7058823529411765,0.64,0.6713286713286714,0.7906976744186046,0.8360655737704918,0.8127490039840638,"[[48, 27], [20, 102]]"
